title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Exclusive Lakeside cottage,€669,€929,6 pers.,3 Slaapkamers,Van di. 30 mei. tot vr. 2 jun.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"25-05-2023, 11:27:49",260,27
Exclusive cottage,€799,€989,2 pers.,1 Slaapkamer,Van vr. 7 tot ma. 10 jul.,58 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"25-05-2023, 11:27:50",190,19
Exclusive cottage,€929,€1249,4 pers.,2 Slaapkamers,Van vr. 14 tot ma. 17 jul.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"25-05-2023, 11:27:51",320,25
Exclusive Lakeside cottage,€959,€1139,4 pers.,2 Slaapkamers,Van vr. 16 tot zo. 18 jun.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"25-05-2023, 11:27:51",180,15
VIP Lakeside cottage,€969,€1399,6 pers.,3 Slaapkamers,Van vr. 7 tot ma. 10 jul.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"25-05-2023, 11:27:52",430,30
Exclusive cottage,€989,€1429,6 pers.,3 Slaapkamers,Van vr. 7 tot ma. 10 jul.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"25-05-2023, 11:27:52",440,30
VIP Lakeside cottage,€1089,€1479,8 pers.,4 Slaapkamers,Van ma. 5 tot vr. 9 jun.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"25-05-2023, 11:27:53",390,26
Exclusive Lakeside cottage,€1149,€1599,8 pers.,4 Slaapkamers,Van ma. 12 tot vr. 16 jun.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"25-05-2023, 11:27:57",450,28
VIP cottage,€1399,€1949,12 pers.,6 Slaapkamers,Van ma. 5 tot vr. 9 jun.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"25-05-2023, 11:27:58",550,28
Exclusive cottage,€1679,€2339,12 pers.,6 Slaapkamers,Van ma. 5 tot vr. 9 jun.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"25-05-2023, 11:27:59",660,28
